source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2024-08-07,"Home lost, crane collapses as firefighters battle massive Vancouver blaze",https://globalnews.ca/news/10685161/vancouver-fire-crane-collapse/,negative,0.016396817,0.66665536,0.3169478,-0.4441605348750812
Global,2024-08-07,Crews battle huge fire in Dunbar area of Vancouver,https://globalnews.ca/video/10685203/crews-battle-huge-fire-in-dunbar-area-of-vancouver/,neutral,0.052594252,0.13635914,0.8110466,-0.015827660425003387
Global,2024-08-07,2 suspects still at large after dangerous person alert lifted in Alberta’s Wheatland County: police,https://globalnews.ca/news/10684028/shelter-in-place-warning-issued-for-parts-of-wheatland-county/,negative,0.012519171,0.41481426,0.5726665,-0.17191415537332588
Global,2024-08-07,B.C. landslide: Video shows structure washed away after water tops Chilcotin River site,https://globalnews.ca/news/10683490/bc-landslide-structure-washed-away-chilcotin-river-video/,negative,0.01550467,0.42509353,0.5594017,-0.18046416501566753
Global,2024-08-07,Air Canada plans to hike flight capacity after profit sinks in Q2,https://globalnews.ca/news/10685376/air-canada-earnings-q2-2024/,negative,0.024778234,0.41068283,0.56453896,-0.16804641156585376
Global,2024-08-07,Simone Biles says ‘weird’ crowd affected Olympic final after falling on beam,https://globalnews.ca/news/10683510/simone-biles-balance-beam-final-olympics-crowd-weird-silent/,negative,0.01213645,0.6597058,0.32815778,-0.4350644336627667
Global,2024-08-07,Emails show Montreal police appeared to interfere with report on street checks,https://globalnews.ca/news/10684011/montreal-police-street-checks-report-interference/,negative,0.010658821,0.46020505,0.52913606,-0.21167510263113343
Global,2024-08-07,Excess runoff washing out Okanagan Falls property,https://globalnews.ca/video/10685012/excess-runoff-washing-out-okanagan-falls-property/,negative,0.017475655,0.5483086,0.43421575,-0.30033691813097185
Global,2024-08-07,"Tropical storm: As Debby heads north, Quebec could get pounded with heavy rain",https://globalnews.ca/news/10685449/tropical-storm-debby-quebec-rain/,negative,0.037991296,0.32995176,0.632057,-0.10742481084504618
Global,2024-08-07,What’s next for Canada’s women’s soccer team?,https://globalnews.ca/video/10685219/whats-next-for-canadas-womens-soccer-team/,neutral,0.057781678,0.03194653,0.91027176,0.0023181423508100707
Global,2024-08-07,Canada at the 2024 Paris Summer Olympics,https://globalnews.ca/video/10685539/canada-at-the-2024-paris-summer-olympics-5/,neutral,0.10283159,0.008923865,0.88824457,0.010494697844329881
